DOMAIN,ID,TOKEN
DEPRESSIVE,45552478,moderate depressive episode
DEPRESSIVE,45561998,mood disorder due to known physiological condition with depressive features
DEPRESSIVE,45581399,mood disorder due to known physiological condition with major depressive-like episode
DEPRESSIVE,1410686,neurotic depression (machine translation)
DEPRESSIVE,35207154,other depressive episodes
DEPRESSIVE,45571759,other depressive episodes
DEPRESSIVE,1410656,other depressive episodes
DEPRESSIVE,1410657,other depressive episodes
DEPRESSIVE,35207164,other persistent mood [affective] disorders
DEPRESSIVE,45538066,other persistent mood [affective] disorders
DEPRESSIVE,1410689,other persistent mood [affective] disorders
DEPRESSIVE,1410688,other persistent mood [affective] disorders
DEPRESSIVE,1410676,other recurrent depressive disorders
DEPRESSIVE,45600740,other recurrent depressive disorders
DEPRESSIVE,1410675,other recurrent depressive disorders
DEPRESSIVE,35207160,other recurrent depressive disorders
DEPRESSIVE,37200320,other specified depressive episodes
DEPRESSIVE,37200322,other specified persistent mood disorders
DEPRESSIVE,45557203,persistent mood [affective] disorders
DEPRESSIVE,1410679,persistent mood [affective] disorders
DEPRESSIVE,1568220,persistent mood [affective] disorders
DEPRESSIVE,35207165,"persistent mood [affective] disorder, unspecified"
DEPRESSIVE,1410690,"persistent mood [affective] disorder, unspecified"
DEPRESSIVE,1410691,"persistent mood [affective] disorder, unspecified"
DEPRESSIVE,45600741,"persistent mood [affective] disorder, unspecified"
DEPRESSIVE,1595539,postpartum depression
DEPRESSIVE,1410918,postpartum depression (machine translation)
DEPRESSIVE,1410919,postpartum depression (machine translation)
DEPRESSIVE,37200319,premenstrual dysphoric disorder
DEPRESSIVE,1410664,recurrent depressive disorder
DEPRESSIVE,45576542,recurrent depressive disorder
DEPRESSIVE,1410665,"recurrent depressive disorder, current episode mild"
DEPRESSIVE,45538065,"recurrent depressive disorder, current episode mild"
DEPRESSIVE,1410666,"recurrent depressive disorder, current episode mild"
DEPRESSIVE,1410667,"recurrent depressive disorder, current episode moderate"
DEPRESSIVE,1410668,"recurrent depressive disorder, current episode moderate"
DEPRESSIVE,45576543,"recurrent depressive disorder, current episode moderate"
DEPRESSIVE,1410670,"recurrent depressive disorder, current episode severe without psychotic symptoms"
DEPRESSIVE,45547705,"recurrent depressive disorder, current episode severe without psychotic symptoms"
DEPRESSIVE,1410669,"recurrent depressive disorder, current episode severe without psychotic symptoms"
DEPRESSIVE,1410672,"recurrent depressive disorder, current episode severe with psychotic symptoms"
DEPRESSIVE,1410671,"recurrent depressive disorder, current episode severe with psychotic symptoms"
DEPRESSIVE,45562042,"recurrent depressive disorder, current episode severe with psychotic symptoms"
DEPRESSIVE,45533100,"recurrent depressive disorder, currently in remission"
DEPRESSIVE,1410673,"recurrent depressive disorder, currently in remission"
DEPRESSIVE,1410674,"recurrent depressive disorder, currently in remission"
DEPRESSIVE,1410677,"recurrent depressive disorder, unspecified"
DEPRESSIVE,1410678,"recurrent depressive disorder, unspecified"
DEPRESSIVE,45581458,"recurrent depressive disorder, unspecified"
DEPRESSIVE,1410652,severe depressive episode without psychotic symptoms
DEPRESSIVE,1410651,severe depressive episode without psychotic symptoms
DEPRESSIVE,45557202,severe depressive episode without psychotic symptoms
DEPRESSIVE,1410654,severe depressive episode with psychotic symptoms
DEPRESSIVE,45600739,severe depressive episode with psychotic symptoms
DEPRESSIVE,1410653,severe depressive episode with psychotic symptoms
ANXIETY,1568222,agoraphobia
ANXIETY,1410424,agoraphobia
ANXIETY,1410470,agoraphobia
ANXIETY,45557204,agoraphobia
ANXIETY,45552480,"agoraphobia, unspecified"
ANXIETY,44826507,agoraphobia without mention of panic attacks
ANXIETY,45542847,agoraphobia without panic disorder
ANXIETY,45581459,agoraphobia with panic disorder
ANXIETY,44827661,agoraphobia with panic disorder
ANXIETY,45600693,alcohol abuse with alcohol-induced anxiety disorder
ANXIETY,45566777,alcohol dependence with alcohol-induced anxiety disorder
ANXIETY,45566781,"alcohol use, unspecified with alcohol-induced anxiety disorder"
ANXIETY,35207120,anxiety disorder due to known physiological condition
ANXIETY,44821812,anxiety disorder in conditions classified elsewhere
ANXIETY,1410725,"anxiety disorder, unspecified"
ANXIETY,35207173,"anxiety disorder, unspecified"
ANXIETY,45542849,"anxiety disorder, unspecified"
ANXIETY,1410726,"anxiety disorder, unspecified"
ANXIETY,44836970,"anxiety, dissociative and somatoform disorders"
ANXIETY,1410716,anxiety (machine translation)
ANXIETY,1410717,anxiety neurosis (machine translation)
ANXIETY,44820725,anxiety states
ANXIETY,44832239,"anxiety state, unspecified"
ANXIETY,1410709,a state of terror (machine translation)
ANXIETY,45533069,cannabis abuse with cannabis-induced anxiety disorder
ANXIETY,45595860,cannabis dependence with cannabis-induced anxiety disorder
ANXIETY,45581417,"cannabis use, unspecified with anxiety disorder"
ANXIETY,45595872,cocaine abuse with cocaine-induced anxiety disorder
ANXIETY,45538033,cocaine dependence with cocaine-induced anxiety disorder
ANXIETY,45586208,"cocaine use, unspecified with cocaine-induced anxiety disorder"
ANXIETY,44829926,generalized anxiety disorder
ANXIETY,1410715,generalized anxiety disorder
ANXIETY,1410714,generalized anxiety disorder
ANXIETY,45571764,generalized anxiety disorder
ANXIETY,35207170,generalized anxiety disorder
ANXIETY,45566808,hallucinogen abuse with hallucinogen-induced anxiety disorder
ANXIETY,45571736,hallucinogen dependence with hallucinogen-induced anxiety disorder
ANXIETY,45552452,"hallucinogen use, unspecified with hallucinogen-induced anxiety disorder"
ANXIETY,1410778,hysterical mutism (machine translation)
ANXIETY,45566813,inhalant abuse with inhalant-induced anxiety disorder
ANXIETY,45586222,inhalant dependence with inhalant-induced anxiety disorder
ANXIETY,45595889,"inhalant use, unspecified with inhalant-induced anxiety disorder"
ANXIETY,45571704,organic anxiety disorder
ANXIETY,1410258,organic anxiety disorder
ANXIETY,1410257,organic anxiety disorder
ANXIETY,1410710,other anxiety disorders
ANXIETY,45571763,other anxiety disorders
ANXIETY,1568230,other anxiety disorders
ANXIETY,44831093,other anxiety states
ANXIETY,44833403,other isolated or specific phobias
ANXIETY,45605492,other mixed anxiety disorders
ANXIETY,1410721,other mixed anxiety disorders
ANXIETY,1410722,other mixed anxiety disorders
ANXIETY,35207171,other mixed anxiety disorders
ANXIETY,45552482,other phobic anxiety disorders
ANXIETY,1410706,other phobic anxiety disorders
ANXIETY,35207167,other phobic anxiety disorders
ANXIETY,1410705,other phobic anxiety disorders
ANXIETY,45562031,other psychoactive substance abuse with psychoactive substance-induced anxiety disorder
ANXIETY,45591124,other psychoactive substance dependence with psychoactive substance-induced anxiety disorder
ANXIETY,45547691,"other psychoactive substance use, unspecified with psychoactive substance-induced anxiety disorder"
ANXIETY,1410723,other specified anxiety disorders
ANXIETY,1410724,other specified anxiety disorders
ANXIETY,35207172,other specified anxiety disorders
ANXIETY,45595908,other specified anxiety disorders
ANXIETY,45533078,other stimulant abuse with stimulant-induced anxiety disorder
ANXIETY,45566802,other stimulant dependence with stimulant-induced anxiety disorder
ANXIETY,45538040,"other stimulant use, unspecified with stimulant-induced anxiety disorder"
ANXIETY,1410713,panic attack (machine translation)
ANXIETY,45562047,panic disorder [episodic paroxysmal anxiety]
ANXIETY,35207169,panic disorder [episodic paroxysmal anxiety]
ANXIETY,1410711,panic disorder [episodic paroxysmal anxiety]
ANXIETY,1410712,panic disorder [episodic paroxysmal anxiety]
ANXIETY,44826503,panic disorder without agoraphobia
ANXIETY,44826506,"phobia, unspecified"
ANXIETY,1411154,phobic anxiety disorder of childhood
ANXIETY,1411153,phobic anxiety disorder of childhood
ANXIETY,45562067,phobic anxiety disorder of childhood
ANXIETY,1410702,phobic anxiety disorders
ANXIETY,1568221,phobic anxiety disorders
ANXIETY,45595906,phobic anxiety disorders
ANXIETY,35207168,"phobic anxiety disorder, unspecified"
ANXIETY,1410707,"phobic anxiety disorder, unspecified"
ANXIETY,1410708,"phobic anxiety disorder, unspecified"
ANXIETY,45542848,"phobic anxiety disorder, unspecified"
ANXIETY,44821824,phobic disorders
ANXIETY,45538021,"sedative, hypnotic or anxiolytic abuse with sedative, hypnotic or anxiolytic-induced anxiety disorder"
ANXIETY,45562013,"sedative, hypnotic or anxiolytic dependence with sedative, hypnotic or anxiolytic-induced anxiety disorder"
ANXIETY,45562015,"sedative, hypnotic or anxiolytic use, unspecified with sedative, hypnotic or anxiolytic-induced anxiety disorder"
ANXIETY,44834611,separation anxiety disorder
ANXIETY,1411152,separation anxiety disorder of childhood
ANXIETY,35207272,separation anxiety disorder of childhood
ANXIETY,1411151,separation anxiety disorder of childhood
ANXIETY,45576563,separation anxiety disorder of childhood
ANXIETY,1411155,social anxiety disorder of childhood
ANXIETY,45586264,social anxiety disorder of childhood
ANXIETY,1411156,social anxiety disorder of childhood
ANXIETY,44836971,social phobia
ANXIETY,45600742,"social phobia, generalized"
ANXIETY,1410517,social phobias
ANXIETY,1568223,social phobias
ANXIETY,1410637,social phobias
ANXIETY,45595907,social phobias
ANXIETY,45557205,"social phobia, unspecified"
ANXIETY,1410703,specific (isolated) phobias
ANXIETY,1410704,specific (isolated) phobias
ANXIETY,45586240,specific (isolated) phobias
ANXIETY,1568224,specific (isolated) phobias
TRAUMA_STRESSOR,44825294,acute paranoid reaction
TRAUMA_STRESSOR,1410580,acute paranoid state reaction (machine translation)
TRAUMA_STRESSOR,44822993,acute reaction to stress
TRAUMA_STRESSOR,45591139,acute stress reaction
TRAUMA_STRESSOR,1410744,acute stress reaction
TRAUMA_STRESSOR,1410745,acute stress reaction
TRAUMA_STRESSOR,35207175,acute stress reaction
TRAUMA_STRESSOR,1410752,adjustment disorders
TRAUMA_STRESSOR,1410751,adjustment disorders
TRAUMA_STRESSOR,1568233,adjustment disorders
TRAUMA_STRESSOR,45533108,adjustment disorders
TRAUMA_STRESSOR,45576546,"adjustment disorder, unspecified"
TRAUMA_STRESSOR,44822995,adjustment disorder with anxiety
TRAUMA_STRESSOR,45547707,adjustment disorder with anxiety
TRAUMA_STRESSOR,44826524,adjustment disorder with depressed mood
TRAUMA_STRESSOR,45581461,adjustment disorder with depressed mood
TRAUMA_STRESSOR,44836989,adjustment disorder with disturbance of conduct
TRAUMA_STRESSOR,45600747,adjustment disorder with disturbance of conduct
TRAUMA_STRESSOR,45538069,adjustment disorder with mixed anxiety and depressed mood
TRAUMA_STRESSOR,44832253,adjustment disorder with mixed anxiety and depressed mood
TRAUMA_STRESSOR,45547708,adjustment disorder with mixed disturbance of emotions and conduct
TRAUMA_STRESSOR,44828847,adjustment disorder with mixed disturbance of emotions and conduct
TRAUMA_STRESSOR,45576547,adjustment disorder with other symptoms
TRAUMA_STRESSOR,44829944,adjustment reaction
TRAUMA_STRESSOR,44819560,adjustment reaction with physical symptoms
TRAUMA_STRESSOR,44821831,adjustment reaction with predominant disturbance of other emotions
TRAUMA_STRESSOR,44826526,adjustment reaction with withdrawal
TRAUMA_STRESSOR,45538092,disinhibited attachment disorder of childhood
TRAUMA_STRESSOR,35207277,disinhibited attachment disorder of childhood
TRAUMA_STRESSOR,1411169,disinhibited attachment disorder of childhood
TRAUMA_STRESSOR,1411170,disinhibited attachment disorder of childhood
TRAUMA_STRESSOR,44829943,mixed disorders as reaction to stress
TRAUMA_STRESSOR,44820738,other acute reactions to stress
TRAUMA_STRESSOR,44833420,other adjustment reactions with predominant disturbance of other emotions
TRAUMA_STRESSOR,44836969,other and unspecified reactive psychosis
TRAUMA_STRESSOR,1410754,other reactions to severe stress
TRAUMA_STRESSOR,45552483,other reactions to severe stress
TRAUMA_STRESSOR,1410753,other reactions to severe stress
TRAUMA_STRESSOR,35207176,other reactions to severe stress
TRAUMA_STRESSOR,44829945,other specified adjustment reactions
TRAUMA_STRESSOR,44824137,other specified adjustment reactions
TRAUMA_STRESSOR,45595909,post-traumatic stress disorder
TRAUMA_STRESSOR,1410748,post-traumatic stress disorder
TRAUMA_STRESSOR,1410749,post-traumatic stress disorder
TRAUMA_STRESSOR,44836990,posttraumatic stress disorder
TRAUMA_STRESSOR,45576545,"post-traumatic stress disorder, acute"
TRAUMA_STRESSOR,45586243,"post-traumatic stress disorder, chronic"
TRAUMA_STRESSOR,1568232,post-traumatic stress disorder (ptsd)
TRAUMA_STRESSOR,45600746,"post-traumatic stress disorder, unspecified"
TRAUMA_STRESSOR,35225209,problems of adjustment to life-cycle transitions
TRAUMA_STRESSOR,44826525,prolonged depressive reaction
TRAUMA_STRESSOR,45557206,"reaction to severe stress, and adjustment disorders"
TRAUMA_STRESSOR,1568231,"reaction to severe stress, and adjustment disorders"
TRAUMA_STRESSOR,1410743,"reaction to severe stress, and adjustment disorders"
TRAUMA_STRESSOR,1410760,"reaction to severe stress, unspecified"
TRAUMA_STRESSOR,1410759,"reaction to severe stress, unspecified"
TRAUMA_STRESSOR,45552484,"reaction to severe stress, unspecified"
TRAUMA_STRESSOR,35207177,"reaction to severe stress, unspecified"
TRAUMA_STRESSOR,1411168,reactive attachment disorder of childhood
TRAUMA_STRESSOR,1411167,reactive attachment disorder of childhood
TRAUMA_STRESSOR,35207276,reactive attachment disorder of childhood
TRAUMA_STRESSOR,45605521,reactive attachment disorder of childhood
TRAUMA_STRESSOR,44832237,reactive confusion
TRAUMA_STRESSOR,1410663,reactive depression (machine translation)
TRAUMA_STRESSOR,1410585,reactive psychosis (machine translation)
TRAUMA_STRESSOR,44819559,unspecified acute reaction to stress
TRAUMA_STRESSOR,44834612,unspecified adjustment reaction
OBSESSIVE_COMPULSIVE,45533111,body dysmorphic disorder
OBSESSIVE_COMPULSIVE,1410735,compulsive action (machine translation)
OBSESSIVE_COMPULSIVE,1410731,compulsive syndrome (machine translation)
OBSESSIVE_COMPULSIVE,1410730,compulsive thinking (machine translation)
OBSESSIVE_COMPULSIVE,1419034,neurogenic excoriation (machine translation)
OBSESSIVE_COMPULSIVE,1410727,obsessive-compulsive disorder
OBSESSIVE_COMPULSIVE,35207174,obsessive-compulsive disorder
OBSESSIVE_COMPULSIVE,45562048,obsessive-compulsive disorder
OBSESSIVE_COMPULSIVE,1410742,obsessive-compulsive disorder (machine translation)
OBSESSIVE_COMPULSIVE,44822985,obsessive-compulsive disorders
OBSESSIVE_COMPULSIVE,1410741,"obsessive-compulsive disorder, unspecified"
OBSESSIVE_COMPULSIVE,45600745,"obsessive-compulsive disorder, unspecified"
OBSESSIVE_COMPULSIVE,1410740,"obsessive-compulsive disorder, unspecified"
OBSESSIVE_COMPULSIVE,37200327,"obsessive-compulsive disorder, unspecified"
OBSESSIVE_COMPULSIVE,35207216,obsessive-compulsive personality disorder
OBSESSIVE_COMPULSIVE,44835794,obsessive-compulsive personality disorder
OBSESSIVE_COMPULSIVE,37200326,other obsessive-compulsive disorder
OBSESSIVE_COMPULSIVE,1410738,other obsessive-compulsive disorders
OBSESSIVE_COMPULSIVE,1410739,other obsessive-compulsive disorders
OBSESSIVE_COMPULSIVE,45533106,other obsessive-compulsive disorders
OBSESSIVE_COMPULSIVE,1410733,predominantly compulsive acts [obsessional rituals]
OBSESSIVE_COMPULSIVE,1410734,predominantly compulsive acts [obsessional rituals]
OBSESSIVE_COMPULSIVE,45591138,predominantly compulsive acts [obsessional rituals]
OBSESSIVE_COMPULSIVE,1410729,predominantly obsessional thoughts or ruminations
OBSESSIVE_COMPULSIVE,1410728,predominantly obsessional thoughts or ruminations
OBSESSIVE_COMPULSIVE,45605493,predominantly obsessional thoughts or ruminations
OBSESSIVE_COMPULSIVE,45576556,trichotillomania
OBSESSIVE_COMPULSIVE,1410978,trichotillomania
OBSESSIVE_COMPULSIVE,1410979,trichotillomania
OBSESSIVE_COMPULSIVE,35207223,trichotillomania
DISRUPTIVE,44833424,"conduct disorder, adolescent onset type"
DISRUPTIVE,35207268,"conduct disorder, adolescent-onset type"
DISRUPTIVE,44835816,"conduct disorder, childhood onset type"
DISRUPTIVE,35207267,"conduct disorder, childhood-onset type"
DISRUPTIVE,35207266,conduct disorder confined to family context
DISRUPTIVE,1411132,conduct disorder confined to the family context
DISRUPTIVE,45538088,conduct disorder confined to the family context
DISRUPTIVE,1411133,conduct disorder confined to the family context
DISRUPTIVE,1568264,conduct disorders
DISRUPTIVE,45600764,conduct disorders
DISRUPTIVE,1411131,conduct disorders
DISRUPTIVE,45533125,"conduct disorder, unspecified"
DISRUPTIVE,35207271,"conduct disorder, unspecified"
DISRUPTIVE,1411142,"conduct disorder, unspecified"
DISRUPTIVE,1411141,"conduct disorder, unspecified"
DISRUPTIVE,1411145,depressive conduct disorder
DISRUPTIVE,45581477,depressive conduct disorder
DISRUPTIVE,1411144,depressive conduct disorder
DISRUPTIVE,44834613,"disorders of impulse control, not elsewhere classified"
DISRUPTIVE,37200321,disruptive mood dysregulation disorder
DISRUPTIVE,44835813,"disturbance of conduct, not elsewhere classified"
DISRUPTIVE,1410971,habit and impulse disorders
DISRUPTIVE,45576555,habit and impulse disorders
DISRUPTIVE,1410983,"habit and impulse disorder, unspecified"
DISRUPTIVE,1410984,"habit and impulse disorder, unspecified"
DISRUPTIVE,45533118,"habit and impulse disorder, unspecified"
DISRUPTIVE,1411126,hyperkinetic conduct disorder
DISRUPTIVE,44829952,hyperkinetic conduct disorder
DISRUPTIVE,45605518,hyperkinetic conduct disorder
DISRUPTIVE,1411125,hyperkinetic conduct disorder
DISRUPTIVE,44829946,"impulse control disorder, unspecified"
DISRUPTIVE,1568251,impulse disorders
DISRUPTIVE,35207224,"impulse disorder, unspecified"
DISRUPTIVE,45605507,intermittent explosive disorder
DISRUPTIVE,44828848,intermittent explosive disorder
DISRUPTIVE,44835815,isolated explosive disorder
DISRUPTIVE,44829947,kleptomania
DISRUPTIVE,35207222,kleptomania
DISRUPTIVE,1411149,"mixed disorder of conduct and emotions, unspecified"
DISRUPTIVE,45586263,"mixed disorder of conduct and emotions, unspecified"
DISRUPTIVE,1411148,"mixed disorder of conduct and emotions, unspecified"
DISRUPTIVE,45591157,mixed disorders of conduct and emotions
DISRUPTIVE,1411143,mixed disorders of conduct and emotions
DISRUPTIVE,44819562,mixed disturbance of conduct and emotions
DISRUPTIVE,1411139,oppositional defiant disorder
DISRUPTIVE,1411138,oppositional defiant disorder
DISRUPTIVE,35207269,oppositional defiant disorder
DISRUPTIVE,45538089,oppositional defiant disorder
DISRUPTIVE,44825315,oppositional defiant disorder
DISRUPTIVE,44834614,other conduct disorder
DISRUPTIVE,45571781,other conduct disorders
DISRUPTIVE,1401613,other conduct disorders
DISRUPTIVE,1411140,other conduct disorders
DISRUPTIVE,35207270,other conduct disorders
DISRUPTIVE,44829948,other disorders of impulse control
DISRUPTIVE,1410981,other habit and impulse disorders
DISRUPTIVE,1410980,other habit and impulse disorders
DISRUPTIVE,45591151,other habit and impulse disorders
DISRUPTIVE,45605508,other impulse disorders
DISRUPTIVE,1568252,other impulse disorders
DISRUPTIVE,45605519,other mixed disorders of conduct and emotions
DISRUPTIVE,1411147,other mixed disorders of conduct and emotions
DISRUPTIVE,1411146,other mixed disorders of conduct and emotions
DISRUPTIVE,44829949,"other specified disturbances of conduct, not elsewhere classified"
DISRUPTIVE,45562061,pathological fire-setting [pyromania]
DISRUPTIVE,1410974,pathological fire-setting [pyromania]
DISRUPTIVE,1410975,pathological fire-setting [pyromania]
DISRUPTIVE,1410977,pathological stealing [kleptomania]
DISRUPTIVE,45586251,pathological stealing [kleptomania]
DISRUPTIVE,1410976,pathological stealing [kleptomania]
DISRUPTIVE,35207221,pyromania
DISRUPTIVE,44827675,pyromania
DISRUPTIVE,45557221,socialized conduct disorder
DISRUPTIVE,1411136,socialized conduct disorder
DISRUPTIVE,1411137,socialized conduct disorder
DISRUPTIVE,44822996,socialized conduct disorder
DISRUPTIVE,44825314,"socialized conduct disorder, mild"
DISRUPTIVE,44833423,"socialized conduct disorder, moderate"
DISRUPTIVE,44835814,"socialized conduct disorder, severe"
DISRUPTIVE,44825313,"socialized conduct disorder, unspecified"
DISRUPTIVE,44833422,"undersocialized conduct disorder, aggressive type"
DISRUPTIVE,44820741,"undersocialized conduct disorder, aggressive type, mild"
DISRUPTIVE,44831112,"undersocialized conduct disorder, aggressive type, moderate"
DISRUPTIVE,44820742,"undersocialized conduct disorder, aggressive type, severe"
DISRUPTIVE,44827672,"undersocialized conduct disorder, aggressive type, unspecified"
DISRUPTIVE,44827673,"undersocialized conduct disorder, unaggressive type"
DISRUPTIVE,44836993,"undersocialized conduct disorder, unaggressive type, mild"
DISRUPTIVE,44827674,"undersocialized conduct disorder, unaggressive type, moderate"
DISRUPTIVE,44826527,"undersocialized conduct disorder, unaggressive type, severe"
DISRUPTIVE,44836992,"undersocialized conduct disorder, unaggressive type, unspecified"
DISRUPTIVE,45542871,unsocialized conduct disorder
DISRUPTIVE,1411134,unsocialized conduct disorder
DISRUPTIVE,1411135,unsocialized conduct disorder
DISRUPTIVE,44821834,unspecified disturbance of conduct
SUBSTANCE,45586247,abuse of antacids
SUBSTANCE,45547716,abuse of herbal or folk remedies
SUBSTANCE,45571768,abuse of laxatives
SUBSTANCE,45576553,abuse of non-dependence-producing substances
SUBSTANCE,1410929,abuse of non-dependence-producing substances
SUBSTANCE,1410930,abuse of non-dependence-producing substances
SUBSTANCE,1568248,abuse of non-psychoactive substances
SUBSTANCE,45552499,abuse of other non-psychoactive substances
SUBSTANCE,45542857,abuse of steroids or hormones
SUBSTANCE,45552498,abuse of vitamins
SUBSTANCE,1568096,alcohol abuse
SUBSTANCE,44820730,alcohol abuse
SUBSTANCE,44826518,"alcohol abuse, continuous"
SUBSTANCE,44829936,"alcohol abuse, episodic"
SUBSTANCE,1326497,"alcohol abuse, in remission"
SUBSTANCE,44831103,"alcohol abuse, in remission"
SUBSTANCE,45595845,"alcohol abuse, uncomplicated"
SUBSTANCE,44828841,"alcohol abuse, unspecified"
SUBSTANCE,45600693,alcohol abuse with alcohol-induced anxiety disorder
SUBSTANCE,45581404,alcohol abuse with alcohol-induced mood disorder
SUBSTANCE,1568098,alcohol abuse with alcohol-induced psychotic disorder
SUBSTANCE,45571707,"alcohol abuse with alcohol-induced psychotic disorder, unspecified"
SUBSTANCE,45600692,alcohol abuse with alcohol-induced psychotic disorder with delusions
SUBSTANCE,45595846,alcohol abuse with alcohol-induced psychotic disorder with hallucinations
SUBSTANCE,45600694,alcohol abuse with alcohol-induced sexual dysfunction
SUBSTANCE,45538006,alcohol abuse with alcohol-induced sleep disorder
SUBSTANCE,1568097,alcohol abuse with intoxication
SUBSTANCE,45576493,alcohol abuse with intoxication delirium
SUBSTANCE,45538005,"alcohol abuse with intoxication, uncomplicated"
SUBSTANCE,45557154,"alcohol abuse with intoxication, unspecified"
SUBSTANCE,45576494,alcohol abuse with other alcohol-induced disorder
SUBSTANCE,1568099,alcohol abuse with other alcohol-induced disorders
SUBSTANCE,45576495,alcohol abuse with unspecified alcohol-induced disorder
SUBSTANCE,1568100,alcohol dependence
SUBSTANCE,45581405,"alcohol dependence, in remission"
SUBSTANCE,44832244,alcohol dependence syndrome
SUBSTANCE,45586187,"alcohol dependence, uncomplicated"
SUBSTANCE,45566777,alcohol dependence with alcohol-induced anxiety disorder
SUBSTANCE,45562002,alcohol dependence with alcohol-induced mood disorder
SUBSTANCE,45595847,alcohol dependence with alcohol-induced persisting amnestic disorder
SUBSTANCE,45566776,alcohol dependence with alcohol-induced persisting dementia
SUBSTANCE,45600695,alcohol dependence with alcohol-induced psychotic disorder
SUBSTANCE,45571708,"alcohol dependence with alcohol-induced psychotic disorder, unspecified"
SUBSTANCE,45562003,alcohol dependence with alcohol-induced psychotic disorder with delusions
SUBSTANCE,45557155,alcohol dependence with alcohol-induced psychotic disorder with hallucinations
SUBSTANCE,45591083,alcohol dependence with alcohol-induced sexual dysfunction
SUBSTANCE,45600696,alcohol dependence with alcohol-induced sleep disorder
SUBSTANCE,45591082,alcohol dependence with intoxication
SUBSTANCE,45586189,alcohol dependence with intoxication delirium
SUBSTANCE,45586188,"alcohol dependence with intoxication, uncomplicated"
SUBSTANCE,45538007,"alcohol dependence with intoxication, unspecified"
SUBSTANCE,45571709,alcohol dependence with other alcohol-induced disorder
SUBSTANCE,1568101,alcohol dependence with other alcohol-induced disorders
SUBSTANCE,45591084,alcohol dependence with unspecified alcohol-induced disorder
SUBSTANCE,45605452,alcohol dependence with withdrawal
SUBSTANCE,45552431,alcohol dependence with withdrawal delirium
